currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated
memo,1000,1000,1000,1000,0.01,64,0.11987238214228574,2400,469959,sharded,20013.630261593768,417
memo,1000,1000,1000,1000,0.01,1,3.7280760861401503,2400,417417,conventional,643.5173208216527,417
memo,1000,1000,1000,1000,0.01,16,0.27991920724848846,2400,429927,sharded,8570.621353048065,417
memo,1000,1000,1000,1000,0.01,256,0.0980369119305079,2400,630087,sharded,24471.206686648165,417
memo,1000,1000,1000,1000,0.01,32,0.17655163098642357,2400,443271,sharded,13588.55492508402,417
memo,1000,1000,1000,1000,0.01,6,0.6834176737027999,2400,421587,sharded,3510.4177534271357,417
memo,1000,1000,1000,1000,0.01,8,0.51530823644927,2400,423255,sharded,4655.624275099981,417
memo,1000,1000,1000,1000,0.01,128,0.09889173322405,2400,523335,sharded,24259.677291091677,417
memo,1000,1000,1000,1000,0.01,4,0.9864652626331326,2400,419919,sharded,2431.997988827715,417
memo,1000,1000,1000,1000,0.01,2,2.0598843140963687,2400,418251,sharded,1164.6680924528584,417
memo,1000,1000,1000,1000,0.01,9,0.46625290698583777,2400,424089,sharded,5145.451103525352,417
memo,1000,1000,1000,1000,0.01,32,0.13776416080823387,2100,507051,sharded,15224.830945835156,477
memo,1000,1000,1000,1000,0.01,64,0.10314008506268665,2100,537579,sharded,20335.79919412929,477
memo,1000,1000,1000,1000,0.01,1,2.6448469352371347,2100,477477,conventional,793.0273887521417,477
memo,1000,1000,1000,1000,0.01,8,0.37062987481630055,2100,484155,sharded,5659.112233572066,477
memo,1000,1000,1000,1000,0.01,6,0.488821117872462,2100,482247,sharded,4290.804922318128,477
memo,1000,1000,1000,1000,0.01,16,0.21728821565256817,2100,491787,sharded,9652.783297065193,477
memo,1000,1000,1000,1000,0.01,4,0.6983654976945379,2100,480339,sharded,3003.3500589939213,477
memo,1000,1000,1000,1000,0.01,9,0.32559739052158093,2100,485109,sharded,6441.808564068297,477
memo,1000,1000,1000,1000,0.01,128,0.08958278808607119,2100,598635,sharded,23413.382230133226,477
memo,1000,1000,1000,1000,0.01,2,1.3301661576191792,2100,478431,sharded,1576.8225997076497,477
memo,1000,1000,1000,1000,0.01,256,0.09372323383024513,2100,720747,sharded,22379.040638942963,477
memo,1000,1000,1000,1000,0.01,64,0.08965428963867425,1800,626612,sharded,20072.225861492505,556
memo,1000,1000,1000,1000,0.01,9,0.2426263155725636,1800,565452,sharded,7417.007288893739,556
memo,1000,1000,1000,1000,0.01,256,0.09030947953716933,1800,840116,sharded,19926.603057638906,556
memo,1000,1000,1000,1000,0.01,16,0.16064337184278357,1800,573236,sharded,11202.212269550148,556
memo,1000,1000,1000,1000,0.01,2,0.8561639670691267,1800,557668,sharded,2101.8884469519376,556
memo,1000,1000,1000,1000,0.01,32,0.11143116729588462,1800,591028,sharded,16149.531542649453,556
memo,1000,1000,1000,1000,0.01,4,0.4878061913597894,1800,559892,sharded,3689.0904276199335,556
memo,1000,1000,1000,1000,0.01,8,0.26281317261205817,1800,564340,sharded,6847.301956723042,556
memo,1000,1000,1000,1000,0.01,1,1.7552381766835454,1800,556556,conventional,1025.251829059084,556
memo,1000,1000,1000,1000,0.01,128,0.0833587660709585,1800,697780,sharded,21588.14526533747,556
memo,1000,1000,1000,1000,0.01,6,0.33204388870436913,1800,562116,sharded,5419.648463042041,556
