currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file
memo,1000,1000,1000,1000,0.01,2,9.618367875753183,2048,490467,sharded,212.71693924380182,489,9.375
memo,1000,1000,1000,1000,0.01,2,298.31089371554435,2048,490467,sharded,6.858582164290946,489,300.0
memo,1000,1000,1000,1000,0.01,2,621.0380858333655,2048,490467,sharded,3.29446747586443,489,600.0
memo,1000,1000,1000,1000,0.01,2,38.73492257460605,2048,490467,sharded,52.82028823241899,489,37.5
memo,1000,1000,1000,1000,0.01,2,157.19295386999943,2048,490467,sharded,13.015785534147952,489,150.0
memo,1000,1000,1000,1000,0.01,2,1217.1240642800285,2048,490467,sharded,1.6810034696515506,489,1200.0
memo,1000,1000,1000,1000,0.01,2,5.20294803630535,2048,490467,sharded,393.23663445695234,489,4.6875
memo,1000,1000,1000,1000,0.01,2,19.60495893006743,2048,490467,sharded,104.36082943857959,489,18.75
memo,1000,1000,1000,1000,0.01,2,152.49419618763858,1024,979931,sharded,6.718560306178491,977,150.0
memo,1000,1000,1000,1000,0.01,2,18.374726128783156,1024,979931,sharded,55.75818906078645,977,18.75
memo,1000,1000,1000,1000,0.01,2,299.30603241222616,1024,979931,sharded,3.4230564789211813,977,300.0
memo,1000,1000,1000,1000,0.01,2,9.605564491268849,1024,979931,sharded,106.66124352817987,977,9.375
memo,1000,1000,1000,1000,0.01,2,5.0830757004731995,1024,979931,sharded,201.55935378524583,977,4.6875
memo,1000,1000,1000,1000,0.01,2,75.63325414600689,1024,979931,sharded,13.546177075113397,977,75.0
memo,1000,1000,1000,1000,0.01,2,36.335469967338426,1024,979931,sharded,28.196730477129194,977,37.5
memo,1000,1000,1000,1000,0.01,2,598.2179844884082,1024,979931,sharded,1.7126557208156228,977,600.0
memo,1000,1000,1000,1000,0.01,2,1229.560580571542,1024,979931,sharded,0.8332582140463725,977,1200.0
memo,1000,1000,1000,1000,0.01,4,75.12860137786939,262144,4028,sharded,3327.6408107557654,4,75.0
memo,1000,1000,1000,1000,0.01,4,18.91980892771421,262144,4028,sharded,13213.716954286587,4,4.6875
memo,1000,1000,1000,1000,0.01,4,24.308681185406837,262144,4028,sharded,10284.432877834706,4,9.375
memo,1000,1000,1000,1000,0.01,4,49.68311203991406,262144,4028,sharded,5031.911040499154,4,37.5
memo,1000,1000,1000,1000,0.01,4,894.3772122476438,262144,4028,sharded,279.525234516795,4,1200.0
memo,1000,1000,1000,1000,0.01,4,376.79841107121484,262144,4028,sharded,663.4874050802456,4,300.0
memo,1000,1000,1000,1000,0.01,4,26.54147530887345,262144,4028,sharded,9419.257863047977,4,18.75
memo,1000,1000,1000,1000,0.01,4,195.2058536415546,262144,4028,sharded,1280.704422209913,4,150.0
memo,1000,1000,1000,1000,0.01,4,594.935589043286,262144,4028,sharded,420.21523775712564,4,600.0
memo,1000,1000,1000,1000,0.01,4,16.031414443445172,131072,8056,sharded,7797.25335159741,8,9.375
memo,1000,1000,1000,1000,0.01,4,44.55760898052086,131072,8056,sharded,2805.379437093368,8,37.5
memo,1000,1000,1000,1000,0.01,4,102.3473719743041,131072,8056,sharded,1221.3405932043224,8,75.0
memo,1000,1000,1000,1000,0.01,4,1427.271126905694,131072,8056,sharded,87.58041667318011,8,1200.0
memo,1000,1000,1000,1000,0.01,4,8.658074471789048,131072,8056,sharded,14437.505753420784,8,4.6875
memo,1000,1000,1000,1000,0.01,4,164.18035773354802,131072,8056,sharded,761.3639154256621,8,150.0
memo,1000,1000,1000,1000,0.01,4,244.79706616183628,131072,8056,sharded,510.6311197265794,8,300.0
memo,1000,1000,1000,1000,0.01,4,30.93772340460522,131072,8056,sharded,4040.4071872138156,8,18.75
memo,1000,1000,1000,1000,0.01,4,504.4118580024638,131072,8056,sharded,247.81534774979343,8,600.0
memo,1000,1000,1000,1000,0.01,4,11.667929345761271,65536,16112,sharded,5356.648823272604,16,9.375
memo,1000,1000,1000,1000,0.01,4,35.05195056700487,65536,16112,sharded,1783.0962040336062,16,37.5
memo,1000,1000,1000,1000,0.01,4,1195.641169985981,65536,16112,sharded,52.274044729266755,16,1200.0
memo,1000,1000,1000,1000,0.01,4,492.5188983920934,65536,16112,sharded,126.90071427521767,16,600.0
memo,1000,1000,1000,1000,0.01,4,8.654847378203732,65536,16112,sharded,7221.502271363191,16,4.6875
memo,1000,1000,1000,1000,0.01,4,78.00829902234008,65536,16112,sharded,801.2096249156889,16,75.0
memo,1000,1000,1000,1000,0.01,4,295.9384106128773,65536,16112,sharded,211.1959710487151,16,300.0
memo,1000,1000,1000,1000,0.01,4,23.857513703568408,65536,16112,sharded,2619.761672426562,16,18.75
memo,1000,1000,1000,1000,0.01,4,137.5808315574356,65536,16112,sharded,454.28566823211725,16,150.0
memo,1000,1000,1000,1000,0.01,4,11.009707092042328,32768,31217,sharded,2930.056562489792,31,9.375
memo,1000,1000,1000,1000,0.01,4,1129.3084229984308,32768,31217,sharded,28.565327114516577,31,1200.0
memo,1000,1000,1000,1000,0.01,4,40.12374539954557,32768,31217,sharded,803.9893632784938,31,37.5
memo,1000,1000,1000,1000,0.01,4,664.1584530676614,32768,31217,sharded,48.57133770883833,31,600.0
memo,1000,1000,1000,1000,0.01,4,7.525790287974399,32768,31217,sharded,4286.4687005265605,31,4.6875
